I understand the information presented on FMCG product labels and am satisfied with the clarity of these claims.,How clear and visible do you find environmental claims on FMCG product packaging?,How much does the presence of environmental claims on FMCG products influence your purchasing decisions?,"Would you be willing to pay more for an FMCG product with verified and transparent environmental claims, even if the price is higher than misleading products?"
0.25,0.0,0.5,0.25
0.75,0.75,0.25,0.75
0.5,0.75,0.5,0.5
0.75,0.25,0.5,0.25
0.5,0.25,0.5,0.75
0.75,0.5,0.25,0.5
0.75,0.75,0.25,0.25
0.25,0.25,0.25,0.75
0.5,0.0,0.5,0.75
0.25,0.25,0.5,0.25
0.75,0.75,0.5,0.75
0.75,0.5,0.25,0.5
0.5,0.25,0.25,1.0
0.75,0.75,0.25,0.25
0.0,0.0,0.25,0.75
0.5,0.75,0.75,0.75
0.75,0.25,0.0,0.75
0.75,0.25,0.5,0.5
0.75,0.5,0.5,0.0
0.75,0.5,0.25,0.75
0.25,0.75,0.75,0.75
0.5,0.75,0.5,0.5
0.75,0.75,0.75,1.0
0.25,0.5,0.25,0.75
0.5,0.0,0.25,0.75
0.5,0.25,0.0,0.25
0.75,0.5,0.5,1.0
0.75,1.0,0.75,0.75
0.25,0.25,0.25,0.5
0.75,0.75,0.25,0.0
0.25,0.5,0.75,0.75
0.5,0.25,0.5,0.75
0.25,0.0,0.5,1.0
0.25,0.25,0.5,0.5
0.5,0.25,0.5,0.0
0.25,0.25,0.75,1.0
0.75,0.25,0.75,1.0
0.75,0.75,0.25,1.0
0.75,0.25,0.0,0.5
0.75,0.75,0.5,0.75
0.5,0.75,0.5,0.5
0.5,0.75,0.0,0.75
0.25,0.75,0.25,0.75
0.25,0.25,0.5,0.5
1.0,0.75,0.25,0.75
0.25,0.75,0.75,0.75
0.5,0.0,0.25,0.75
0.75,1.0,0.75,1.0
1.0,0.25,0.75,0.75
0.75,0.5,0.75,0.75
0.5,0.5,0.25,0.75
0.75,0.75,0.5,0.75
0.0,0.5,0.25,0.5
0.5,0.25,0.25,1.0
0.75,0.25,0.75,1.0
0.0,0.0,0.5,0.5
0.25,0.75,0.5,1.0
0.75,0.5,0.5,0.5
0.5,0.75,0.25,0.75
0.5,0.5,0.0,0.25
0.75,0.75,0.75,0.0
0.5,0.25,0.5,0.75
0.5,0.25,0.5,1.0
0.25,0.25,1.0,1.0
0.25,0.25,0.5,1.0
0.75,0.5,0.25,0.5
0.5,0.25,0.5,1.0
0.5,0.25,0.5,0.25
0.5,0.75,0.25,0.5
