"How often do you purchase Fast-Moving Consumer Goods (FMCG) such as food, beverages, household items, or personal care products?",How much does the presence of environmental claims on FMCG products influence your purchasing decisions?,"If an FMCG product contains misleading environmental claims but is priced significantly lower than a truly eco-friendly product, which would you choose?",To what extent does price influence your decision to purchase an FMCG product that makes environmental claims?
0.75,0.5,0.5,0.0
0.5,0.25,0.5,0.0
0.0,0.5,0.25,0.5
1.0,0.5,0.25,0.0
0.5,0.5,0.5,0.5
0.5,0.25,0.5,0.0
0.0,0.25,1.0,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.5,0.5
0.0,0.5,0.0,0.0
0.0,0.5,0.75,0.0
0.75,0.25,0.0,0.0
0.0,0.25,0.5,0.5
0.5,0.25,0.25,0.0
0.0,0.25,0.0,0.0
0.75,1.0,1.0,0.5
1.0,0.0,0.5,0.0
0.0,0.5,0.75,1.0
0.25,0.5,0.25,1.0
0.0,0.25,0.5,0.0
0.5,1.0,0.75,0.5
0.0,0.5,0.5,0.5
0.0,1.0,1.0,1.0
0.0,0.25,0.5,0.0
0.25,0.25,0.25,0.0
0.5,0.0,0.5,0.0
0.75,0.5,1.0,1.0
0.0,1.0,0.75,0.5
0.5,0.25,0.25,0.5
1.0,0.25,0.0,0.5
0.5,1.0,1.0,0.5
0.25,0.5,1.0,0.5
0.75,0.5,0.5,1.0
0.25,0.5,0.25,0.5
0.5,0.5,0.5,0.5
0.5,1.0,0.75,0.5
0.5,1.0,0.5,1.0
0.5,0.25,0.75,1.0
0.25,0.0,0.25,0.0
0.25,0.5,0.25,0.5
0.25,0.5,0.5,0.5
0.5,0.0,0.5,0.0
0.0,0.25,0.5,1.0
0.75,0.5,0.25,0.0
0.0,0.25,0.75,0.5
0.0,1.0,0.75,0.5
0.25,0.25,0.5,0.5
1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5
0.75,1.0,0.5,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.0,0.0
0.25,0.25,0.25,0.5
0.75,0.25,1.0,1.0
0.25,1.0,1.0,0.5
0.5,0.5,0.0,1.0
0.25,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.25,0.5,0.5
0.75,0.0,0.5,0.0
1.0,1.0,0.5,0.5
0.0,0.5,0.5,0.5
0.25,0.5,0.5,0.5
0.75,0.75,0.75,0.5
0.0,0.5,0.5,0.0
0.0,0.25,0.5,0.0
0.0,0.5,0.5,0.5
1.0,0.5,0.25,0.5
0.5,0.25,0.5,0.0
1.0,0.5,0.5,0.5
0.25,0.5,0.75,0.5
0.25,1.0,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.5,1.0,1.0
1.0,0.5,0.25,1.0
0.75,0.25,0.5,0.0
0.75,0.5,0.5,0.0
0.5,0.25,0.5,0.0
0.0,0.5,0.25,0.5
1.0,0.5,0.25,0.0
0.5,0.5,0.5,0.5
0.5,0.25,0.5,0.0
0.0,0.25,1.0,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.5,0.5
0.0,0.5,0.0,0.0
0.0,0.5,0.75,0.0
0.75,0.25,0.0,0.0
0.0,0.25,0.5,0.5
0.5,0.25,0.25,0.0
0.0,0.25,0.0,0.0
0.75,1.0,1.0,0.5
1.0,0.0,0.5,0.0
0.0,0.5,0.75,1.0
0.25,0.5,0.25,1.0
0.0,0.25,0.5,0.0
0.5,1.0,0.75,0.5
0.0,0.5,0.5,0.5
0.0,1.0,1.0,1.0
0.0,0.25,0.5,0.0
0.25,0.25,0.25,0.0
0.5,0.0,0.5,0.0
0.75,0.5,1.0,1.0
0.0,1.0,0.75,0.5
0.5,0.25,0.25,0.5
1.0,0.25,0.0,0.5
0.5,1.0,1.0,0.5
0.25,0.5,1.0,0.5
0.75,0.5,0.5,1.0
0.25,0.5,0.25,0.5
0.5,0.5,0.5,0.5
0.5,1.0,0.75,0.5
0.5,1.0,0.5,1.0
0.5,0.25,0.75,1.0
0.25,0.0,0.25,0.0
0.25,0.5,0.25,0.5
0.25,0.5,0.5,0.5
0.5,0.0,0.5,0.0
0.0,0.25,0.5,1.0
0.75,0.5,0.25,0.0
0.0,0.25,0.75,0.5
0.0,1.0,0.75,0.5
0.25,0.25,0.5,0.5
1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5
0.75,1.0,0.5,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.0,0.0
0.25,0.25,0.25,0.5
0.75,0.25,1.0,1.0
0.25,1.0,1.0,0.5
0.5,0.5,0.0,1.0
0.25,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.25,0.5,0.5
0.75,0.0,0.5,0.0
1.0,1.0,0.5,0.5
0.0,0.5,0.5,0.5
0.25,0.5,0.5,0.5
0.75,0.75,0.75,0.5
0.0,0.5,0.5,0.0
0.0,0.25,0.5,0.0
0.0,0.5,0.5,0.5
1.0,0.5,0.25,0.5
0.5,0.25,0.5,0.0
1.0,0.5,0.5,0.5
0.25,0.5,0.75,0.5
0.25,1.0,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.5,1.0,1.0
1.0,0.5,0.25,1.0
0.75,0.25,0.5,0.0
0.75,0.5,0.5,0.0
0.5,0.25,0.5,0.0
0.0,0.5,0.25,0.5
1.0,0.5,0.25,0.0
0.5,0.5,0.5,0.5
0.5,0.25,0.5,0.0
0.0,0.25,1.0,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.5,0.5
0.0,0.5,0.0,0.0
0.0,0.5,0.75,0.0
0.75,0.25,0.0,0.0
0.0,0.25,0.5,0.5
0.5,0.25,0.25,0.0
0.0,0.25,0.0,0.0
0.75,1.0,1.0,0.5
1.0,0.0,0.5,0.0
0.0,0.5,0.75,1.0
0.25,0.5,0.25,1.0
0.0,0.25,0.5,0.0
0.5,1.0,0.75,0.5
0.0,0.5,0.5,0.5
0.0,1.0,1.0,1.0
0.0,0.25,0.5,0.0
0.25,0.25,0.25,0.0
0.5,0.0,0.5,0.0
0.75,0.5,1.0,1.0
0.0,1.0,0.75,0.5
0.5,0.25,0.25,0.5
1.0,0.25,0.0,0.5
0.5,1.0,1.0,0.5
0.25,0.5,1.0,0.5
0.75,0.5,0.5,1.0
0.25,0.5,0.25,0.5
0.5,0.5,0.5,0.5
0.5,1.0,0.75,0.5
0.5,1.0,0.5,1.0
0.5,0.25,0.75,1.0
0.25,0.0,0.25,0.0
0.25,0.5,0.25,0.5
0.25,0.5,0.5,0.5
0.5,0.0,0.5,0.0
0.0,0.25,0.5,1.0
0.75,0.5,0.25,0.0
0.0,0.25,0.75,0.5
0.0,1.0,0.75,0.5
0.25,0.25,0.5,0.5
1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5
0.75,1.0,0.5,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.0,0.0
0.25,0.25,0.25,0.5
0.75,0.25,1.0,1.0
0.25,1.0,1.0,0.5
0.5,0.5,0.0,1.0
0.25,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.25,0.5,0.5
0.75,0.0,0.5,0.0
1.0,1.0,0.5,0.5
0.0,0.5,0.5,0.5
0.25,0.5,0.5,0.5
0.75,0.75,0.75,0.5
0.0,0.5,0.5,0.0
0.0,0.25,0.5,0.0
0.0,0.5,0.5,0.5
1.0,0.5,0.25,0.5
0.5,0.25,0.5,0.0
1.0,0.5,0.5,0.5
0.25,0.5,0.75,0.5
0.25,1.0,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.5,1.0,1.0
1.0,0.5,0.25,1.0
0.75,0.25,0.5,0.0
0.75,0.5,0.5,0.0
0.5,0.25,0.5,0.0
0.0,0.5,0.25,0.5
1.0,0.5,0.25,0.0
0.5,0.5,0.5,0.5
0.5,0.25,0.5,0.0
0.0,0.25,1.0,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.5,0.5
0.0,0.5,0.0,0.0
0.0,0.5,0.75,0.0
0.75,0.25,0.0,0.0
0.0,0.25,0.5,0.5
0.5,0.25,0.25,0.0
0.0,0.25,0.0,0.0
0.75,1.0,1.0,0.5
1.0,0.0,0.5,0.0
0.0,0.5,0.75,1.0
0.25,0.5,0.25,1.0
0.0,0.25,0.5,0.0
0.5,1.0,0.75,0.5
0.0,0.5,0.5,0.5
0.0,1.0,1.0,1.0
0.0,0.25,0.5,0.0
0.25,0.25,0.25,0.0
0.5,0.0,0.5,0.0
0.75,0.5,1.0,1.0
0.0,1.0,0.75,0.5
0.5,0.25,0.25,0.5
1.0,0.25,0.0,0.5
0.5,1.0,1.0,0.5
0.25,0.5,1.0,0.5
0.75,0.5,0.5,1.0
0.25,0.5,0.25,0.5
0.5,0.5,0.5,0.5
0.5,1.0,0.75,0.5
0.5,1.0,0.5,1.0
0.5,0.25,0.75,1.0
0.25,0.0,0.25,0.0
0.25,0.5,0.25,0.5
0.25,0.5,0.5,0.5
0.5,0.0,0.5,0.0
0.0,0.25,0.5,1.0
0.75,0.5,0.25,0.0
0.0,0.25,0.75,0.5
0.0,1.0,0.75,0.5
0.25,0.25,0.5,0.5
1.0,1.0,1.0,1.0
1.0,1.0,0.5,0.5
0.75,1.0,0.5,0.5
0.0,0.25,0.75,0.5
0.75,0.5,0.0,0.0
0.25,0.25,0.25,0.5
0.75,0.25,1.0,1.0
0.25,1.0,1.0,0.5
0.5,0.5,0.0,1.0
0.25,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.25,0.5,0.5
0.75,0.0,0.5,0.0
1.0,1.0,0.5,0.5
0.0,0.5,0.5,0.5
0.25,0.5,0.5,0.5
0.75,0.75,0.75,0.5
0.0,0.5,0.5,0.0
0.0,0.25,0.5,0.0
0.0,0.5,0.5,0.5
1.0,0.5,0.25,0.5
0.5,0.25,0.5,0.0
1.0,0.5,0.5,0.5
0.25,0.5,0.75,0.5
0.25,1.0,0.5,0.5
0.5,0.5,0.5,0.5
0.75,0.5,1.0,1.0
1.0,0.5,0.25,1.0
