Q33,Q1,Q2,Q4,Q4_6_TEXT,,Q5,Q6,Q8,Q9,Q10,Q11,Q11_6_TEXT,Q12,Q14,Q13,Q13_6_TEXT,Q35,Q32,Q15,Q33,Q34,Q16,Q17,Q18,Q19,Q20,Q30,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
"Thank you for taking part in this survey!


'The Influence of Greenwashing and Misleading Labels on Consumer Behaviour in the FMCG Industry'. 
This research is conducted by Deepanshi, MSc Management student at Warwick Business School, as part of their dissertation.

This survey is split into 6 different sections and takes about 4 minutes to complete. Please understand that participating in this survey is entirely voluntary and you can withdraw at any point during the survey without having to provide any reason for your withdrawal. 

For any questions, please contact: deepanshi@warwick.ac.uk",What is your age?,What is your gender?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other (Please specify): _ - Text,What is your household average monthy income,"How often do you purchase Fast-Moving Consumer Goods (FMCG) such as food, beverages, household items, or personal care products?","How familiar are you with environmental or green claims on FMCG products (e.g., eco-friendly, natural, sustainable)?",I understand the information presented on FMCG product labels and am satisfied with the clarity of these claims.,"How often do you read FMCG product labels to check for environmental claims (e.g., recyclable, sustainable, biodegradable)?",How clear and visible do you find environmental claims on FMCG product packaging?,What specific environmental claims do you usually look for on FMCG product labels? (Select all that apply) - Selected Choice,What specific environmental claims do you usually look for on FMCG product labels? (Select all that apply) - Other (Please specify): - Text,Have you ever seen an FMCG product that made environmental claims on its label that you found to be exaggerated or false?,How confident are you in identifying misleading or false environmental claims on FMCG product labels?,What specific elements make you suspect that an FMCG product’s label or advertisement is misleading regarding environmental claims? (Select all that apply) - Selected Choice,What specific elements make you suspect that an FMCG product’s label or advertisement is misleading regarding environmental claims? (Select all that apply) - Other (Please specify): - Text,How much does the presence of environmental claims on FMCG products influence your purchasing decisions?,"If you find that a brand’s environmental claims are misleading, how likely are you to stop purchasing their products?",To what extent do misleading environmental claims affect your trust in a brand?,How much responsibility do you feel consumers have to verify the environmental claims made by FMCG brands?,Do you think FMCG brands intentionally use vague or misleading labels to make their products seem more environmentally friendly?,"Greenwashing in the FMCG Industry happens when companies make their products seem more environmentally friendly than they really are. This is done by using words like ""natural,"" ""eco-friendly,"" or ""green"" without providing clear proof or proper details. In the Fast-Moving Consumer Goods (FMCG) sector, greenwashing is a way to attract customers who care about the environment, even though the product may not truly help the environment as claimed. It misleads consumers into thinking a product is better for the planet than it actually is.

In your opinion, how common is greenwashing in the FMCG industry?","How often do you read the ingredients list on FMCG product labels to verify the accuracy of environmental claims (e.g., ""natural,"" ""chemical-free"")?","Do you feel that FMCG brands provide sufficient transparency about the sourcing and processing of ingredients, particularly in products claiming to be ""green"" or ""eco-friendly""?","To what extent do you agree that some FMCG products claim to have ""natural"" or ""green"" ingredients but still contain harmful or synthetic chemicals?",Do you think FMCG brands use complex or scientific terminology in the ingredients list to obscure the presence of potentially harmful chemicals or additives?,Would you prefer if FMCG brands provided more detailed information about their ingredients and the environmental impact of their products?,"How often do you buy instant or fast-cooking FMCG food products (e.g., instant noodles, ready-to-eat meals)?",Do you prefer fast-cooking meals over traditional cooking due to convenience?,"Are you aware that consuming instant or fast-cooking meals may have potential health risks despite being marketed as ""natural"" or ""healthy""?","If you are aware of the potential health risks of instant cooking items, do you still choose them due to convenience?",How likely are you to continue purchasing instant cooking products even if their environmental claims are misleading or unclear?,To what extent does price influence your decision to purchase an FMCG product that makes environmental claims?,"If an FMCG product contains misleading environmental claims but is priced significantly lower than a truly eco-friendly product, which would you choose?",Do you believe that misleading environmental claims should be more strictly regulated by the government?,"Would you be willing to pay more for an FMCG product with verified and transparent environmental claims, even if the price is higher than misleading products?"
"{""ImportId"":""QID40""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_6_TEXT""}",,"{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID32""}","{""ImportId"":""QID15""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID31""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I agree,25-34,Male,Master’s degree,,less than 20k,Once a week,Very familiar,Somewhat disagree,Sometimes,Extremely unclear,"Organic,Recyclable packaging",,No,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A little,Somewhat likely,Significantly reduces trust,No responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Strongly disagree,Yes,No,Extremely unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,25-34,Male,Master’s degree,,less than 20k,Once a week,Moderately familiar,Somewhat disagree,Sometimes,Extremely unclear,"Eco-friendly,Organic,Recyclable packaging",,Yes,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,A little responsibility,Somewhat agree,Sometimes happens,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Most of the time,Strongly agree,Yes,Yes,Somewhat likely,Price is the most important factor,Choose depending on the situation,Somewhat agree,Somewhat disagree
I agree,25-34,Male,Master’s degree,,less than 20k,2-3 times a week,Moderately familiar,Somewhat agree,About half the time,Somewhat clear,"Organic,Recyclable packaging,Sustainably sourced",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Lack of detailed information about sustainability",,A little,Somewhat likely,Moderately reduces trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Somewhat disagree,Yes,Yes,Neither likely nor unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,18-24,Male,Master’s degree,,20-30k,Daily,Slightly familiar,Neither agree nor disagree,About half the time,Somewhat clear,"Eco-friendly,Organic,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,No responsibility,Strongly agree,Always happens,Sometimes,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Most of the time,Somewhat agree,Yes,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Sometimes choose the cheaper product,Strongly agree,Neither agree nor disagree
I agree,25-34,Male,Bachelor’s degree,,less than 20k,Monthly,Slightly familiar,Somewhat agree,Sometimes,Somewhat unclear,"Organic,Sustainably sourced",,Yes,Slightly confident,"Lack of certifications or third-party verification,Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,A little responsibility,Somewhat agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Somewhat agree,Yes,Yes,Somewhat unlikely,Price is the most important factor,Sometimes choose the cheaper product,Strongly agree,Somewhat disagree
I agree,25-34,Female,Master’s degree,,30-40k,2-3 times a week,Moderately familiar,Neither agree nor disagree,About half the time,Somewhat unclear,Organic,,Not sure,Moderately confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Somewhat likely,Completely lose trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Strongly disagree,Yes,No,Extremely unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Strongly agree,Somewhat agree
I agree,18-24,Female,Master’s degree,,40-50k,2-3 times a week,Slightly familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Eco-friendly,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Extremely likely,Completely lose trust,Some responsibility,Strongly agree,Always happens,Rarely,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Neither agree nor disagree,Yes,No,Extremely unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Neither agree nor disagree
I agree,18-24,Male,Master’s degree,,above 50k,Daily,Very familiar,Somewhat agree,Most of the time,Somewhat clear,"Organic,Recyclable packaging,Sustainably sourced",,No,Not at all confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals)",,A little,Somewhat likely,No impact,A great deal of responsibility,Somewhat agree,Often happens,Always,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Always,Somewhat agree,Yes,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Always choose the eco-friendly product,Somewhat disagree,Somewhat disagree
I agree,25-34,Female,Doctorate,,above 50k,Daily,Moderately familiar,Somewhat disagree,Most of the time,Somewhat unclear,"Eco-friendly,Organic,Recyclable packaging",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A little,Somewhat likely,Significantly reduces trust,Some responsibility,Neither agree nor disagree,Often happens,Most of the time,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Strongly disagree,Yes,Yes,Somewhat likely,"Price is somewhat important, but I prefer eco-friendly products",Rarely choose the cheaper product,Strongly agree,Somewhat agree
I agree,25-34,Male,Bachelor’s degree,,less than 20k,Once a week,Moderately familiar,Neither agree nor disagree,Most of the time,Extremely unclear,"Eco-friendly,Recyclable packaging",,Yes,Moderately confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Neither likely nor unlikely,Slightly reduces trust,Some responsibility,Somewhat disagree,Sometimes happens,Always,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,About half the time,Somewhat agree,No,No,Neither likely nor unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Somewhat disagree,Somewhat agree
I agree,18-24,Female,Master’s degree,,20-30k,Daily,Very familiar,Somewhat disagree,Sometimes,Somewhat unclear,"Eco-friendly,Recyclable packaging",,Yes,Not at all confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Moderately reduces trust,Some responsibility,Somewhat agree,Often happens,Rarely,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Always,Somewhat agree,Yes,Yes,Somewhat likely,Price is the most important factor,Always choose the cheaper product,Strongly agree,Somewhat disagree
I agree,25-34,Female,Bachelor’s degree,,less than 20k,Daily,Moderately familiar,Somewhat agree,Always,Somewhat clear,Recyclable packaging,,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification",,A moderate amount,Somewhat likely,Significantly reduces trust,Some responsibility,Somewhat agree,Sometimes happens,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Always,Somewhat agree,Yes,Yes,Somewhat likely,Price is the most important factor,Rarely choose the cheaper product,Somewhat agree,Somewhat agree
I agree,25-34,Female,Bachelor’s degree,,less than 20k,Once a week,Very familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Eco-friendly,Organic,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Lack of detailed information about sustainability",,A little,Somewhat unlikely,Moderately reduces trust,A little responsibility,Strongly agree,Sometimes happens,Sometimes,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Most of the time,Strongly agree,Yes,Yes,Somewhat likely,Price is the most important factor,Always choose the cheaper product,Strongly agree,Neither agree nor disagree
I agree,25-34,Female,Bachelor’s degree,,less than 20k,Daily,Moderately familiar,Neither agree nor disagree,Never,Somewhat unclear,"Eco-friendly,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Somewhat likely,Significantly reduces trust,A great deal of responsibility,Strongly agree,Always happens,Sometimes,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Never,Strongly disagree,Yes,No,Extremely unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Strongly agree,Strongly agree
